Class name,Quarter Offered,Career,Grading,Class Number,Type,Instruction Mode,Credits,General education,Status,Available Seats,Enrollment Capacity,Enrolled,Wait List Capacity,Wait List Total,Description,Enrollment Requirements,Class Notes,Meeting Information,Associated Discussion Sections or Labs
"Calculus for Science, Engineering, and Mathematics",2025 Winter Quarter,Undergraduate,Student Option,32334,Lecture,Asynchronous Online,5 units,MF,Open,77,400,323,0,0,"The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. Students cannot receive credit for both this course and  MATH 11A, or AM 11A, or AM 15A, or ECON 11A..",Prerequisite(s): MATH 3; or mathematics placement (MP) score of 400 or higher; or AP Calculus AB exam score of 3 or higher.,"This class will be offered online with asynchronous instruction. Online sections are available for all students. Attendance at any sections of your choice is encouraged, but not mandatory. Thus, enrollment in a section is not required. Sections begin Monday, January 13th for Winter 2025.","Days & Times: , Room: Online, Instructor: Lin,L.Tromba,A.J.Bauerle,F.Monard,F., Dates: 01/06/25 - 03/14/25","#32335 DIS 01A, Tu 10:20AM-11:25AM, Liao,J., Loc: McHenry Clrm 1270, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32336 DIS 01B, M 10:20AM-11:25AM, Bashandy,Y., Loc: McHenry Clrm 1270, Enrl: 22 / 24, Wait: 0 / 0, Open; #32337 DIS 01C, Th 10:20AM-11:25AM, Zhang,A., Loc: McHenry Clrm 1270, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32338 DIS 01D, F 02:40PM-03:45PM, Bashandy,Y., Loc: McHenry Clrm 1270, Enrl: 24 / 24, Wait: 0 / 0, Closed"
"Calculus for Science, Engineering, and Mathematics",2025 Winter Quarter,Undergraduate,Student Option,32340,Lecture,In Person,5 units,MF,Closed,0,200,200,0,0,"The definite integral and the fundamental theorem of calculus. Areas, volumes. Integration by parts, trigonometric substitution, and partial fractions methods. Improper integrals. Sequences, series, absolute convergence and convergence tests. Power series, Taylor and Maclaurin series. Students cannot receive credit for both this course and MATH 11B, or AM 11B, or AM 15B, or ECON 11B.","Prerequisite(s): MATH 19A or MATH 20A or AP Calculus AB exam score of 4 or 5, or BC exam score of 3 or higher, or IB Mathematics Higher Level exam score of 5 of higher.","Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 01:20PM-02:25PM, Room: Kresge Acad 3105, Instructor: Morales,P., Dates: 01/06/25 - 03/14/25","#32346 DIS 02A, Th 09:00AM-10:05AM, Arnstein,T., Loc: McHenry Clrm 1267, Enrl: 20 / 24, Wait: 0 / 0, Open; #32347 DIS 02B, Th 10:20AM-11:25AM, Arnstein,T., Loc: McHenry Clrm 1267, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32348 DIS 02C, Th 11:40AM-12:45PM, Zhao,Y., Loc: McHenry Clrm 1267, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32349 DIS 02D, Th 01:00PM-02:05PM, Arnstein,T., Loc: McHenry Clrm 1267, Enrl: 19 / 24, Wait: 0 / 0, Open; #32350 DIS 02E, Tu 02:20PM-03:25PM, Wang,M., Loc: McHenry Clrm 1267, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32351 DIS 02F, Tu 03:40PM-04:45PM, Wang,M., Loc: McHenry Clrm 1267, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32352 DIS 02G, Tu 05:00PM-06:05PM, Zhao,Y., Loc: McHenry Clrm 1267, Enrl: 24 / 24, Wait: 0 / 0, Closed; #32353 DIS 02H, Tu 06:20PM-07:25PM, Zhao,Y., Loc: McHenry Clrm 1267, Enrl: 18 / 24, Wait: 0 / 0, Open; #32783 DIS 02I, W 05:20PM-06:25PM, Wang,M., Loc: McHenry Clrm 1267, Enrl: 23 / 24, Wait: 0 / 0, Open"
"Calculus for Science, Engineering, and Mathematics",2025 Winter Quarter,Undergraduate,Student Option,32339,Lecture,Asynchronous Online,5 units,MF,Open,171,450,279,0,0,"The definite integral and the fundamental theorem of calculus. Areas, volumes. Integration by parts, trigonometric substitution, and partial fractions methods. Improper integrals. Sequences, series, absolute convergence and convergence tests. Power series, Taylor and Maclaurin series. Students cannot receive credit for both this course and MATH 11B, or AM 11B, or AM 15B, or ECON 11B.","Prerequisite(s): MATH 19A or MATH 20A or AP Calculus AB exam score of 4 or 5, or BC exam score of 3 or higher, or IB Mathematics Higher Level exam score of 5 of higher.","This class will be offered online with asynchronous instruction. Online sections are available for all students. Attendance at any sections of your choice is encouraged, but not mandatory. Thus, enrollment in a section is not required. Sections begin Monday, January 13th for Winter 2025.","Days & Times: , Room: Online, Instructor: Tromba,A.J.Lin,L.Bauerle,F.Monard,F., Dates: 01/06/25 - 03/14/25","#32342 DIS 03A, W 10:20AM-11:25AM, Lawson,I.C., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32343 DIS 03B, W 09:00AM-10:05AM, Lawson,I.C., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32344 DIS 03C, F 01:20PM-02:25PM, Wang,Q., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32345 DIS 03D, F 12:00PM-01:05PM, McBride,N., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed"
Honors Calculus,2025 Winter Quarter,Undergraduate,Student Option,32540,Lecture,In Person,5 units,MF,Open,19,25,6,0,0,"Orbital mechanics, techniques of integration, and separable differential equations. Taylor expansions and error estimates, the Gaussian integral, Gamma function and Stirling's formula. Series and power series, numerous applications to physics.",Prerequisite(s): MATH 20A.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 09:20AM-10:25AM, Room: Engineer 2 194, Instructor: Boltje,R., Dates: 01/06/25 - 03/14/25","#32780 LBS 01A, Tu 03:20PM-04:25PM, Packirisamy,S., Loc: McHenry Clrm 1279, Enrl: 6 / 25, Wait: 0 / 0, Open; #32781 LBS 01B, Cancelled Cancelled, Staff, Loc:, Enrl: 0 / 0, Wait: 0 / 0, Closed"
Linear Algebra,2025 Winter Quarter,Undergraduate,Student Option,32362,Lecture,In Person,5 units,MF,Open,2,210,208,0,0,"Systems of linear equations matrices, determinants. Introduces abstract vector spaces, linear transformation, inner products, the geometry of Euclidean space, and eigenvalues. Students cannot receive credit for this course and AM 10.",Prerequisite(s): MATH 11A or MATH 19A or MATH 20A  or AM 11A or ECON 11A or AM 15A.,"Enroll in lecture and associated discussion section. Sections begin Tuesday, Jan. 16th for Winter 2024.","Days & Times: MWF 01:20PM-02:25PM, Room: ClassroomUnit 002, Instructor: Pan,J., Dates: 01/06/25 - 03/14/25","#32363 DIS 01A, M 03:40PM-04:45PM, Kennerly,S.C., Loc: McHenry Clrm 1257, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32364 DIS 01B, W 03:40PM-04:45PM, Meyer,G.P., Loc: McHenry Clrm 1257, Enrl: 33 / 35, Wait: 0 / 0, Open; #32365 DIS 01C, M 05:00PM-06:05PM, Meyer,G.P., Loc: McHenry Clrm 1257, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32366 DIS 01D, W 05:00PM-06:05PM, Meyer,G.P., Loc: McHenry Clrm 1257, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32367 DIS 01E, M 11:40AM-12:45PM, Wang,S., Loc: McHenry Clrm 1257, Enrl: 35 / 35, Wait: 0 / 0, Closed; #32368 DIS 01F, W 11:40AM-12:45PM, Wang,S., Loc: McHenry Clrm 1257, Enrl: 35 / 35, Wait: 0 / 0, Closed"
Introduction to Calculus of Several Variables,2025 Winter Quarter,Undergraduate,Student Option,32369,Lecture,In Person,5 units,MF,Open,15,100,85,0,0,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics. Students cannot receive credit for this course and MATH 23A.",Prerequisite(s): MATH 11B or MATH 19B or MATH 20B or AM 15B or AP calculus BC exam score of 4 or 5.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 12:00PM-01:05PM, Room: J Baskin Engr 152, Instructor: Lasic Latimer,T., Dates: 01/06/25 - 03/14/25","#32370 DIS 01A, M 05:20PM-06:25PM, Breland,J.V., Loc: McHenry Clrm 1279, Enrl: 23 / 25, Wait: 0 / 0, Open; #32371 DIS 01B, W 05:20PM-06:25PM, Kennerly,S.C., Loc: McHenry Clrm 1279, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32373 DIS 01C, W 06:40PM-07:45PM, Kennerly,S.C., Loc: McHenry Clrm 1279, Enrl: 21 / 25, Wait: 0 / 0, Open; #45938 DIS 01D, Th 05:20PM-06:25PM, Breland,J.V., Loc: McHenry Clrm 1279, Enrl: 16 / 25, Wait: 0 / 0, Open"
Vector Calculus,2025 Winter Quarter,Undergraduate,Student Option,32374,Lecture,Asynchronous Online,5 units,MF,Open,56,300,244,0,0,"Vectors in n-dimensional Euclidean space. The inner and cross products. The derivative of functions from n-dimensional to m-dimensional Euclidean space is studied as a linear transformation having matrix representation. Paths in 3-dimensions, arc length, vector differential calculus, Taylor's theorem in several variables, extrema of real-valued functions, constrained extrema and Lagrange multipliers, the implicit function theorem, some applications. Students cannot receive credit for this course and MATH 22.",Prerequisite(s): MATH 19B or MATH 20B or AP calculus BC exam score of 4 or 5.,"This class will be offered online with asynchronous instruction. Online sections are available for all students. Attendance at any sections of your choice is encouraged, but not mandatory. Thus, enrollment in a section is not required. Sections begin Monday, January 13th for Winter 2025.","Days & Times: , Room: Online, Instructor: Bauerle,F.Tromba,A.J.Lin,L.Monard,F., Dates: 01/06/25 - 03/14/25","#32375 DIS 01A, Tu 09:00AM-10:05AM, Tin,T., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32376 DIS 01B, Th 09:00AM-10:05AM, Tin,T., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32377 DIS 01C, F 09:20AM-10:25AM, Qi,Z., Loc: McHenry Clrm 1270, Enrl: 23 / 25, Wait: 0 / 0, Open; #32378 DIS 01D, F 10:40AM-11:45AM, Qi,Z., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed"
Vector Calculus,2025 Winter Quarter,Undergraduate,Student Option,32388,Lecture,In Person,5 units,MF,Closed,0,75,75,0,0,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",Prerequisite(s): MATH 23A.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 02:40PM-03:45PM, Room: Soc Sci 2 075, Instructor: Hingtgen,R.L., Dates: 01/06/25 - 03/14/25","#32389 DIS 01A, M 04:00PM-05:05PM, Su,Y., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32390 DIS 01B, M 05:20PM-06:25PM, Su,Y., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed; #32391 DIS 01C, W 01:20PM-02:25PM, Su,Y., Loc: McHenry Clrm 1270, Enrl: 25 / 25, Wait: 0 / 0, Closed"
Vector Calculus,2025 Winter Quarter,Undergraduate,Student Option,33166,Lecture,Asynchronous Online,5 units,MF,Open,38,100,62,0,0,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",Prerequisite(s): MATH 23A.,,"Days & Times: , Room: Online, Instructor: Monard,F.Tromba,A.J.Bauerle,F.Lin,L., Dates: 01/06/25 - 03/14/25","#33179 DIS 02A, Th 03:20PM-04:25PM, Lawson,L., Loc: McHenry Clrm 1279, Enrl: 24 / 25, Wait: 0 / 0, Open; #33178 DIS 02B, F 10:40AM-11:45AM, Fernandes,R.A., Loc: McHenry Clrm 1279, Enrl: 17 / 25, Wait: 0 / 0, Open"
Introduction to Proof and Problem Solving,2025 Winter Quarter,Undergraduate,Student Option,32401,Lecture,In Person,5 units,MF,Open,14,50,36,0,0,"Students learn the basic concepts and ideas necessary for upper-division mathematics and techniques of mathematical proof. Introduction to sets, relations, elementary mathematical logic, proof by contradiction, mathematical induction, and counting arguments.",Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; MATH 11A or MATH 19A or MATH 20A; and MATH 21 or AM 10 or AMS 10A.,"Enroll in lecture and associated discussion section. Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 10:40AM-11:45AM, Room: Porter Acad 144, Instructor: Gharakhloo,R., Dates: 01/06/25 - 03/14/25","#32402 DIS 01A, M 02:40PM-03:45PM, Ampagouni,D., Loc: McHenry Clrm 1270, Enrl: 17 / 25, Wait: 0 / 0, Open; #32403 DIS 01B, W 04:00PM-05:05PM, Ampagouni,D., Loc: McHenry Clrm 1270, Enrl: 19 / 25, Wait: 0 / 0, Open"
Complex Analysis,2025 Winter Quarter,Undergraduate,Student Option,32395,Lecture,In Person,5 units,,Open,7,40,33,0,0,"Complex numbers, analytic and harmonic functions, complex integration, the Cauchy integral formula, Laurent series, singularities and residues, conformal mappings.",Prerequisite(s): MATH 23B; and either MATH 100 or CSE 101.,"Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: TuTh 11:40AM-01:15PM, Room: McHenry Clrm 4130, Instructor: Quan,H., Dates: 01/06/25 - 03/14/25","#32396 DIS 01A, M 01:20PM-02:25PM, Ma,T., Loc: McHenry Clrm 1270, Enrl: 6 / 25, Wait: 0 / 0, Open; #32397 DIS 01B, W 02:40PM-03:45PM, Ma,T., Loc: McHenry Clrm 1270, Enrl: 19 / 25, Wait: 0 / 0, Open"
Real Analysis,2025 Winter Quarter,Undergraduate,Student Option,32385,Lecture,In Person,5 units,,Open,10,40,30,0,0,"The basic concepts of one-variable calculus are treated rigorously. Set theory, the real number system, numerical sequences and series, continuity, differentiation.",Prerequisite(s):MATH 22 or MATH 23B and either MATH 100 or CSE 101.,"Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 01:20PM-02:25PM, Room: Earth&Marine B214, Instructor: Gharakhloo,R., Dates: 01/06/25 - 03/14/25","#32386 DIS 01A, M 09:00AM-10:05AM, Aiken,S., Loc: McHenry Clrm 1270, Enrl: 10 / 25, Wait: 0 / 0, Open; #32387 DIS 01B, W 05:20PM-06:25PM, Aiken,S., Loc: McHenry Clrm 1270, Enrl: 12 / 25, Wait: 0 / 0, Open"
Introduction to Number Theory,2025 Winter Quarter,Undergraduate,Student Option,32412,Lecture,In Person,5 units,,Open,18,40,22,0,0,"Prime numbers, unique factorization, congruences with applications (e.g., to magic squares). Rational and irrational numbers. Continued fractions. Introduction to Diophantine equations. An introduction to some of the ideas and outstanding problems of modern mathematics.",Prerequisite(s): MATH 100 or CSE 101.,"Sections begin Monday, Jan. 13th for Winter 2025.","Days & Times: MWF 10:40AM-11:45AM, Room: McHenry Lib 1340, Instructor: Mackall,E., Dates: 01/06/25 - 03/14/25","#32413 DIS 01A, Th 05:20PM-06:25PM, Howard,J.K., Loc: McHenry Clrm 1270, Enrl: 11 / 25, Wait: 0 / 0, Open; #32414 DIS 01B, Th 06:40PM-07:45PM, Howard,J.K., Loc: McHenry Clrm 1270, Enrl: 2 / 25, Wait: 0 / 0, Open"
